Employee_ID,First_Name,Last_Name,Gender,Date_of_Birth,Email,City,State,Country,Marital_Status,Job_Title,Department,Employment_Type,Work_Location,Work_Shift,Hire_Date,Employment_Status,Base_Salary,Annual_Bonus,Performance_Rating,Skills,Languages_Spoken
E000001,Jason,Guzman,Male,10-03-2001,millercharles@yahoo.com,Charlesberg,New Hampshire,India,Single,Data Analyst,IT,Part-time,"5842 Rachel Forks, Lake Karina, OR 37954",Evening,20-03-2021,Terminated,151958,7498,4,Leadership,French
E000002,Patrick,Haney,Other,07-10-2002,freemantammy@hammond.com,Nicholeland,Maryland,Canada,Single,Accountant,HR,Full-time,"6486 Bobby Fork, Patrickhaven, MA 96034",Morning,07-10-2022,On Leave,176867,4522,1,SQL,Spanish
E000003,Brett,Collins,Female,05-03-1993,moniquepitts@simpson-suarez.com,Berrytown,Virginia,India,Single,Data Analyst,Finance,Contractor,"89470 Daisy Neck, Lake Erika, VA 95237",Morning,11-11-2020,On Leave,161932,18928,1,Python,French
E000004,John,Davis,Male,21-10-1970,moorebryan@fisher.com,Kathrynmouth,Rhode Island,UK,Married,HR Manager,Operations,Full-time,"Unit 5857 Box 2598, DPO AP 86439",Evening,13-12-2020,Terminated,133694,12773,1,Java,French
E000005,Melanie,Hughes,Male,09-06-1987,flove@hernandez-brooks.info,Stoutbury,Ohio,Canada,Divorced,Accountant,IT,Part-time,"1305 Powell Path Apt. 036, Port Laura, MT 08998",Evening,23-03-2021,Terminated,149879,18215,3,Excel,French
E000006,Justin,Coleman,Male,15-08-1970,bakerandre@allen.com,Bradshawmouth,Massachusetts,Germany,Divorced,Marketing Specialist,Marketing,Part-time,"16813 Woods Mews, West Cherylfurt, CO 72225",Evening,11-01-2023,Terminated,140268,17856,5,Leadership,German
E000007,Steven,Bryant,Other,04-05-1998,mpena@gmail.com,Adamsfurt,Montana,India,Single,Software Engineer,Operations,Contractor,"30232 Kathy Fort Suite 219, Walterside, WY 79648",Evening,20-06-2019,Terminated,84886,9628,5,Communication,Hindi
E000008,Barry,Daniels,Male,18-04-1968,hparker@byrd-schultz.com,Sparksfurt,New Hampshire,Canada,Married,Accountant,Sales,Part-time,"171 Shields Flats Apt. 117, Brianport, DE 35032",Evening,18-09-2015,Terminated,167337,329,2,Leadership,German
E000009,Sierra,Santiago,Other,21-12-1964,eric68@gmail.com,Grahamburgh,South Dakota,USA,Married,Accountant,IT,Full-time,"40309 Craig Landing Apt. 761, Port Alanbury, NY 78991",Evening,29-06-2019,Terminated,198266,5851,3,Leadership,Spanish
E000010,Willie,Manning,Other,02-12-1983,owensjessica@yahoo.com,Benjaminton,Missouri,India,Married,Data Analyst,IT,Contractor,"24024 Ryan Pine Suite 321, North Dawnberg, OR 88013",Evening,20-10-2016,On Leave,117498,7032,5,Python,Hindi
E000011,Carol,Harris,Other,23-08-2001,jenniferlucero@davis.com,Port Debra,New Jersey,India,Single,Software Engineer,IT,Full-time,"020 Willis Circle Suite 317, Jessicahaven, NH 84233",Evening,30-03-2023,On Leave,142727,15326,1,Leadership,English
E000012,Benjamin,Gonzales,Male,12-10-1992,joneskevin@gmail.com,Wellsfort,Missouri,UK,Divorced,Software Engineer,IT,Full-time,"4825 Jacob Dale Suite 919, Maxwellfurt, MD 75589",Night,05-03-2024,Terminated,156324,5266,1,Python,Hindi
E000013,Kenneth,Johnson,Other,14-08-1967,samantha43@robinson.com,East Daniel,Delaware,UK,Married,HR Manager,IT,Full-time,"950 Mendoza Freeway, Petersmouth, IL 44231",Evening,10-08-2020,On Leave,46023,4354,3,SQL,Hindi
E000014,Sarah,Lopez,Female,04-12-1998,delgadokimberly@yahoo.com,Port Jordan,Alabama,UK,Married,Data Analyst,Finance,Contractor,"356 Rebecca Keys Apt. 868, Andresmouth, TN 60417",Morning,15-09-2019,Terminated,71090,15082,5,Python,Spanish
E000015,Travis,King,Male,19-01-1968,carol93@yahoo.com,West Kimberlystad,Illinois,Canada,Single,HR Manager,IT,Contractor,"53965 Makayla Cliffs Suite 608, Lucerostad, ME 54154",Night,07-07-2020,Resigned,97221,4722,1,Leadership,German
E000016,Amanda,Pierce,Male,08-04-1998,nmcgrath@hotmail.com,Parkerfort,Colorado,Germany,Single,Sales Executive,Sales,Part-time,"56188 Russell Islands Apt. 833, Millerstad, PA 33121",Morning,23-09-2024,Active,94820,17772,5,Power BI,Spanish
